cc,pc,place_name,admin_name1,admin_code1,admin_name2,admin_code2,admin_name3,admin_code3,latitude,longitude,accuracy
JP,969-3288,Wataba,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5167,140.2035,1
JP,969-3300,Ikanikeisaiganaibaai,Fukushima Ken,8,Yama Gun,1848677.0,Bandai Machi,7407.0,37.5641,139.9908,1
JP,969-3301,Bandai,Fukushima Ken,8,Yama Gun,1848677.0,Bandai Machi,7407.0,37.5641,139.9908,1
JP,969-3302,Sarashina,Fukushima Ken,8,Yama Gun,1848677.0,Bandai Machi,7407.0,37.5557,140.0232,4
JP,969-3303,Akaeda,Fukushima Ken,8,Yama Gun,1848677.0,Bandai Machi,7407.0,37.5641,139.9908,1
JP,969-3304,Otani,Fukushima Ken,8,Yama Gun,1848677.0,Bandai Machi,7407.0,37.5726,139.9584,4
JP,969-4400,Ikanikeisaiganaibaai,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.5873,139.6468,1
JP,969-4401,Tosejima,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.5873,139.6468,1
JP,969-4402,Onomoto,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.5873,139.6468,1
JP,969-4403,Tabanematsu,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.5873,139.6468,1
JP,969-4404,Mutsuai,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.5873,139.6468,1
JP,969-4405,Shitatani,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.5873,139.6468,1
JP,969-4406,Nozawa,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.5873,139.6468,4
JP,969-4511,Muraoka,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.6377,139.6278,4
JP,969-4512,Kaminojiri,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.6254,139.6289,4
JP,969-4513,Hosaka Yashiki,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.6313,139.6269,1
